date,SPY,SHY,TLT,GLD,BTC-USD,IBIT
2009-05-22,65.23543548583984,64.61371612548828,55.875709533691406,94.1500015258789,,
2009-05-26,66.9062728881836,64.529052734375,55.03335189819336,93.76000213623047,,
2009-05-27,65.71177673339844,64.51365661621094,54.05952835083008,93.44999694824219,,
2009-05-28,66.62781524658203,64.50599670410156,54.84215545654297,94.23999786376953,,
2009-05-29,67.80764770507812,64.59834289550781,56.258033752441406,96.19999694824219,,
2009-06-01,69.44914245605469,64.5451889038086,54.59482955932617,95.7300033569336,,
2009-06-02,69.50777435302734,64.52196502685547,54.888511657714844,96.36000061035156,,
2009-06-03,68.6283950805664,64.63764953613281,55.4039421081543,94.41000366210938,,
2009-06-04,69.27327728271484,64.57599639892578,54.259159088134766,96.2300033569336,,
2009-06-05,69.2879409790039,64.15196228027344,53.84566116333008,93.70999908447266,,
2009-06-08,69.00215148925781,63.982303619384766,53.707786560058594,93.55999755859375,,
2009-06-09,69.3538818359375,64.12882995605469,53.7017936706543,93.83000183105469,,
2009-06-10,69.17799377441406,64.12106323242188,52.856693267822266,93.86000061035156,,
2009-06-11,69.48576354980469,64.12882995605469,53.444053649902344,93.69999694824219,,
2009-06-12,69.67631530761719,64.19815063476562,53.923580169677734,92.16999816894531,,
2009-06-15,68.07875061035156,64.2444839477539,54.40903091430664,91.0999984741211,,
2009-06-16,67.15543365478516,64.31385040283203,55.35597229003906,91.93000030517578,,
2009-06-17,67.0894775390625,64.38323211669922,55.04435729980469,92.3499984741211,,
2009-06-18,67.58045959472656,64.27532196044922,54.21123123168945,91.61000061035156,,
2009-06-19,67.82955932617188,64.31385040283203,54.954437255859375,91.9000015258789,,
2009-06-22,65.79554748535156,64.39864349365234,55.487892150878906,90.54000091552734,,
2009-06-23,65.84712219238281,64.39864349365234,56.14115524291992,90.91999816894531,,
2009-06-24,66.41458892822266,64.39098358154297,55.57772445678711,91.44999694824219,,
2009-06-25,67.8590316772461,64.5143051147461,56.59665298461914,92.30999755859375,,
2009-06-26,67.68216705322266,64.5451889038086,56.69255447387695,92.29000091552734,,
2009-06-29,68.31593322753906,64.5451889038086,56.776458740234375,92.04000091552734,,
2009-06-30,67.76319122314453,64.53742218017578,56.68056869506836,91.18000030517578,,
2009-07-01,68.04328155517578,64.60069274902344,56.568153381347656,92.38999938964844,,
2009-07-02,66.18614196777344,64.67020416259766,56.700408935546875,91.25,,
2009-07-06,66.17877197265625,64.69338989257812,56.592185974121094,90.76000213623047,,
2009-07-07,64.89647674560547,64.6856918334961,56.97100067138672,90.70999908447266,,
2009-07-08,64.85224914550781,64.78599548339844,58.02321243286133,89.2699966430664,,
2009-07-09,64.9775390625,64.75516510009766,57.331756591796875,89.51000213623047,,
2009-07-10,64.82276916503906,64.81689453125,57.860862731933594,89.58000183105469,,
2009-07-13,66.39986419677734,64.7782974243164,57.53620529174805,90.19000244140625,,
2009-07-14,66.77571868896484,64.73193359375,56.58015441894531,90.80999755859375,,
2009-07-15,68.7286148071289,64.57759094238281,55.12506103515625,92.23999786376953,,
2009-07-16,68.61809539794922,64.6778793334961,55.72032928466797,91.9800033569336,,
2009-07-17,69.3697738647461,64.65477752685547,54.86045837402344,91.93000030517578,,
2009-07-20,70.10675048828125,64.64704132080078,55.149112701416016,93.27999877929688,,
2009-07-21,70.43102264404297,64.72425842285156,56.24945831298828,93.12999725341797,,
2009-07-22,70.416259765625,64.69338989257812,55.74441909790039,93.44000244140625,,
2009-07-23,71.97124481201172,64.57759094238281,54.72220993041992,93.26000213623047,,
2009-07-24,72.26599884033203,64.61619567871094,54.98674392700195,93.41000366210938,,
2009-07-27,72.47977447509766,64.56983947753906,54.355411529541016,93.70999908447266,,
